[2017-08-30 16:36:33] Fehlermeldungen: Use of undefined constant DEBUG - assumed 'DEBUG' | Fehlerhafte Datei: C:\OpenServer\domains\fw.loc\vendor\core\ErrorHandler.php | Fehlerhafte Zeile: 69
[2017-08-30 16:37:13] Fehlermeldungen: Use of undefined constant DEBUG - assumed 'DEBUG' | Fehlerhafte Datei: C:\OpenServer\domains\fw.loc\vendor\core\ErrorHandler.php | Fehlerhafte Zeile: 69
[2017-08-30 16:49:21] Fehlermeldungen: Undefined variable: test | Fehlerhafte Datei: C:\OpenServer\domains\fw.loc\src\controllers\MainController.php | Fehlerhafte Zeile: 32
[2017-08-30 16:49:35] Fehlermeldungen: Undefined variable: test | Fehlerhafte Datei: C:\OpenServer\domains\fw.loc\src\controllers\MainController.php | Fehlerhafte Zeile: 32
[2017-08-30 16:50:04] Fehlermeldungen: Undefined variable: test | Fehlerhafte Datei: C:\OpenServer\domains\fw.loc\src\controllers\MainController.php | Fehlerhafte Zeile: 32
[2017-08-30 16:50:33] Fehlermeldungen: Undefined variable: test | Fehlerhafte Datei: C:\OpenServer\domains\fw.loc\src\controllers\MainController.php | Fehlerhafte Zeile: 32
[2017-08-30 16:50:48] Fehlermeldungen: Undefined variable: test35737 | Fehlerhafte Datei: C:\OpenServer\domains\fw.loc\src\controllers\MainController.php | Fehlerhafte Zeile: 32
[2017-08-30 16:51:17] Fehlermeldungen: Undefined variable: test35737 | Fehlerhafte Datei: C:\OpenServer\domains\fw.loc\src\controllers\MainController.php | Fehlerhafte Zeile: 32
[2017-08-30 16:51:19] Fehlermeldungen: Undefined variable: test35737 | Fehlerhafte Datei: C:\OpenServer\domains\fw.loc\src\controllers\MainController.php | Fehlerhafte Zeile: 32
[2017-08-30 16:51:22] Fehlermeldungen: Undefined variable: test35737 | Fehlerhafte Datei: C:\OpenServer\domains\fw.loc\src\controllers\MainController.php | Fehlerhafte Zeile: 32
[2017-08-30 16:51:30] Fehlermeldungen: Undefined variable: test35737 | Fehlerhafte Datei: C:\OpenServer\domains\fw.loc\src\controllers\MainController.php | Fehlerhafte Zeile: 32
[2017-08-30 16:52:05] Fehlermeldungen: Undefined variable: test | Fehlerhafte Datei: C:\OpenServer\domains\fw.loc\src\controllers\MainController.php | Fehlerhafte Zeile: 32
[2017-08-30 16:52:32] Fehlermeldungen: Undefined variable: test | Fehlerhafte Datei: C:\OpenServer\domains\fw.loc\src\controllers\MainController.php | Fehlerhafte Zeile: 32
